task_id,family,difficulty,difficulty_score,rationale
T001,historical_explanation,medium,2,"Requires linking festival to broader cultural memory concepts"
T002,historical_explanation,hard,3,"Requires historical knowledge of Confucian evolution across dynasties"
T003,historical_explanation,easy,1,"Widely known topic with clear cultural connections"
T004,historical_explanation,medium,2,"Requires connecting ritual practices to value systems"
T005,event_interpretation,medium,2,"Symbol interpretation requires cultural context knowledge"
T006,event_interpretation,hard,3,"Multi-symbol analysis with mythological layer"
T007,event_interpretation,easy,1,"Concrete observable behavior with clear meaning"
T008,event_interpretation,medium,2,"Community spirit analysis requires sociological understanding"
T009,norm_comparison,medium,2,"Cross-cultural comparison requires knowledge of both systems"
T010,norm_comparison,hard,3,"Abstract value system comparison with educational context"
T011,norm_comparison,medium,2,"Legal vs ritual norm comparison requires historical knowledge"
T012,norm_comparison,easy,1,"Observable contrast between traditional and modern forms"
T013,value_conflict_mediation,hard,3,"Requires balancing competing values with practical solutions"
T014,value_conflict_mediation,hard,3,"Generational conflict requires nuanced mediation"
T015,value_conflict_mediation,medium,2,"Globalization tension is contemporary and relatable"
T016,value_conflict_mediation,medium,2,"Minority culture tension requires sensitivity and balance"
T017,contemporary_transfer,medium,2,"Bridging classical concept to modern classroom context"
T018,contemporary_transfer,easy,1,"Straightforward application of festival meaning to modern context"
T019,contemporary_transfer,hard,3,"Requires specific knowledge of craft tradition and modern parallels"
T020,contemporary_transfer,medium,2,"Digital transformation analysis requires contemporary awareness"
